word,kept_reading,segmentation_suggested
數千朵,sou3 cin1 doe2,sou3 cin1 do2
數千泡,sou3 cin1 paau1,sou3 cin1 pou5
數千疊,sou3 cin1 daap6,sou3 cin1 dip6
數千疋,sou3 cin1 pat1,sou3 cin1 ngaa5
數千種,sou3 cin1 zung2,sou3 cin1 zung3
數千粒,sou3 cin1 nap1,sou3 cin1 lap1
數千縷,sou3 cin1 leoi5,sou3 cin1 lau5
數千行,sou3 cin1 hong4,sou3 cin1 hong6
數千載,sou3 cin1 zoi2,sou3 cin1 zoi3
數千間,sou3 cin1 gaan1,sou3 cin1 haan4
數千頂,sou3 cin1 deng2,sou3 cin1 ding2
數啤,sou3 pe1,sou3 pei4
數打,sou3 daa1,sou3 daa2
數朵,sou3 doe2,sou3 do2
數泡,sou3 paau1,sou3 pou5
數疊,sou3 daap6,sou3 dip6
數疋,sou3 pat1,sou3 ngaa5
數百下,sou3 baak3 haa5,sou3 baak3 haa6
數百啤,sou3 baak3 pe1,sou3 baak3 pei4
數百打,sou3 baak3 daa1,sou3 baak3 daa2
數百朵,sou3 baak3 doe2,sou3 baak3 do2
數百泡,sou3 baak3 paau1,sou3 baak3 pou5
數百疊,sou3 baak3 daap6,sou3 baak3 dip6
數百疋,sou3 baak3 pat1,sou3 baak3 ngaa5
數百種,sou3 baak3 zung2,sou3 baak3 zung3
數百粒,sou3 baak3 nap1,sou3 baak3 lap1
數百縷,sou3 baak3 leoi5,sou3 baak3 lau5
數百行,sou3 baak3 hong4,sou3 baak3 hong6
數百載,sou3 baak3 zoi2,sou3 baak3 zoi3
數百間,sou3 baak3 gaan1,sou3 baak3 haan4
數百頂,sou3 baak3 deng2,sou3 baak3 ding2
數種,sou3 zung2,sou3 zung3
數粒,sou3 nap1,sou3 lap1
數縷,sou3 leoi5,sou3 lau5
數萬下,sou3 maan6 haa5,sou3 maan6 haa6
數萬啤,sou3 maan6 pe1,sou3 maan6 pei4
數萬打,sou3 maan6 daa1,sou3 maan6 daa2
數萬朵,sou3 maan6 doe2,sou3 maan6 do2
數萬泡,sou3 maan6 paau1,sou3 maan6 pou5
數萬疊,sou3 maan6 daap6,sou3 maan6 dip6
數萬疋,sou3 maan6 pat1,sou3 maan6 ngaa5
數萬種,sou3 maan6 zung2,sou3 maan6 zung3
數萬粒,sou3 maan6 nap1,sou3 maan6 lap1
數萬縷,sou3 maan6 leoi5,sou3 maan6 lau5
數萬行,sou3 maan6 hong4,sou3 maan6 hong6
數萬間,sou3 maan6 gaan1,sou3 maan6 haan4
數萬頂,sou3 maan6 deng2,sou3 maan6 ding2
數行,sou3 hong4,sou3 hong6
數載,sou3 zoi2,sou3 zoi3
數間,sou3 gaan1,sou3 haan4
數頂,sou3 deng2,sou3 ding2
文化體育及旅遊局,man4 faa3 tai2 juk6 kap6 leoi5 jau4 guk2,man4 faa3 tai2 juk6 kap6 leoi5 jau4 guk6
文順巷,man4 seon6 hong2,man4 seon6 hong6
文體旅局,man4 tai2 leoi5 guk2,man4 tai2 leoi5 guk6
料壆第一巷,liu6 bok3 dai6 jat1 hong2,liu6 bok3 dai6 jat1 hong6
料壆第七巷,liu6 bok3 dai6 cat1 hong2,liu6 bok3 dai6 cat1 hong6
料壆第三巷,liu6 bok3 dai6 saam1 hong2,liu6 bok3 dai6 saam1 hong6
料壆第九巷,liu6 bok3 dai6 gau2 hong2,liu6 bok3 dai6 gau2 hong6
料壆第二巷,liu6 bok3 dai6 ji6 hong2,liu6 bok3 dai6 ji6 hong6
料壆第五巷,liu6 bok3 dai6 ng5 hong2,liu6 bok3 dai6 ng5 hong6
料壆第八巷,liu6 bok3 dai6 baat3 hong2,liu6 bok3 dai6 baat3 hong6
料壆第六巷,liu6 bok3 dai6 luk6 hong2,liu6 bok3 dai6 luk6 hong6
料壆第十一巷,liu6 bok3 dai6 sap6 jat1 hong2,liu6 bok3 dai6 sap6 jat1 hong6
料壆第十巷,liu6 bok3 dai6 sap6 hong2,liu6 bok3 dai6 sap6 hong6
料壆第四巷,liu6 bok3 dai6 sei3 hong2,liu6 bok3 dai6 sei3 hong6
斜炮頂,ce4 paau3 deng2,ce4 paau3 ding2
斯捷潘納克特,si1 zit3 pun1 naap6 hak1 dak6,si1 zit6 pun1 naap6 hak1 dak6
斯文男子生雞精密實姑娘假正經,si1 man4 naam4 zi2 saang1 gai1 zing1 mat6 sat6 gu1 noeng4 gaa2 zing3 ging1,si1 man4 naam4 zi2 sang1 gai1 zing1 mat6 sat6 gu1 noeng4 gaa2 zing3 ging1
斯洛伐克人,si1 lok3 fat6 hak1 jan4,si1 lok6 fat6 hak1 jan4
斯洛文尼亞人,si1 lok3 man4 nei4 aa3 jan4,si1 lok6 man4 nei4 aa3 jan4
斯特勒,si1 dak6 lak6,si1 dak6 laak6
新冠肺炎,san1 gun1 fai3 jim4,san1 gun3 fai3 jim4
新加坡人,san1 gaa3 po1 jan4,san1 gaa1 bo1 jan4
新大嶼山巴士,san1 daai6 jyu4 saan1 baa1 si2,san1 daai6 zeoi6 saan1 baa1 si2
新屋嶺,san1 uk1 leng5,san1 uk1 ling5
新屋嶺第一巷,san1 uk1 leng5 dai6 jat1 hong2,san1 uk1 ling5 dai6 jat1 hong6
新生命教育協會,san1 sang1 ming6 gaau3 juk6 hip3 wui2,san1 sang1 ming6 gaau3 juk6 hip3 wui6
新田交匯處,san1 tin4 gaau1 wui6 cyu5,san1 tin4 gaau1 wui6 cyu3
新界婦孺福利會,san1 gaai3 fu5 jyu6 fuk1 lei6 wui2,san1 gaai3 fu5 jyu4 fuk1 lei6 wui6
新聞發布會,san1 man4 faat3 bou3 wui2,san1 man4 faat3 bou3 wui6
新聞處,san1 man4 cyu5,san1 man4 cyu3
新興海傍街,san1 hing1 hoi2 bong6 gaai1,san1 hing1 hoi2 pong4 gaai1
新華旅遊,san1 waa2 leoi5 jau4,san1 waa4 leoi5 jau4
新錫路,san1 sek3 lou6,san1 sik3 lou6
施華洛世奇,si1 waa4 lok3 sai3 kei4,si1 waa4 lok6 sai3 kei4
旅港開平商會中學,leoi5 gong2 hoi1 ping4 soeng1 wui2 zung1 hok6,leoi5 gong2 hoi1 ping4 soeng1 wui6 zung1 hok6
旅港開平商會學校,leoi5 gong2 hoi1 ping4 soeng1 wui2 hok6 haau6,leoi5 gong2 hoi1 ping4 soeng1 wui6 hok6 haau6
旅監局,leoi5 gaam1 guk2,leoi5 gaam1 guk6
旅遊業監管局,leoi5 jau4 jip6 gaam1 gun2 guk2,leoi5 jau4 jip6 gaam1 gun2 guk6
旋轉台,syun4 zyun2 toi4,syun4 zyun3 toi4
既為,gei3 wai4,gei3 wai6
昂船凹,ngong4 syun4 aau3,ngong4 syun4 nap1
易志明,jik6 zi3 ming4,ji6 zi3 ming4
星光行,sing1 gwong1 hong2,sing1 gwong1 hong6
春核,ceon1 wat6,ceon1 hat6
是撚但,si6 lan2 daan6,si6 nan2 daan6
是這,si6 ze5,si6 ze2
普勒陀尼亞,pou2 lak6 to4 nei4 aa3,pou2 laak6 to4 nei4 aa3
普埃布拉,pou2 aai1 bou3 laai1,pou2 oi1 bou3 laai1
普遍認為,pou2 pin3 jing6 wai4,pou2 pin3 jing6 wai6
普里什蒂納,pou2 lei5 sap6 dai3 naap6,pou2 lei5 zaap6 dai3 naap6
景嶺,ging2 leng5,ging2 ling5
景嶺書院,ging2 leng5 syu1 jyun2,ging2 ling5 syu1 jyun2
景嶺路,ging2 leng5 lou6,ging2 ling5 lou6
暈得一陣陣,wan4 dak1 jat1 zan2 zan6,wan4 dak1 jat1 zan6 zan6
暢行道,coeng3 hang4 dou6,coeng3 hong6 dou6
暢行里,coeng3 hang4 lei5,coeng3 hong6 lei5
曝罟灣,buk6 gu2 waan1,bou6 gu2 waan1
曝罟灣營地,buk6 gu2 waan1 jing4 dei6,bou6 gu2 waan1 jing4 dei6
曲奇四重奏,kuk1 kei4 sei3 cung5 zau3,kuk1 kei4 sei3 zung6 zau3
曲面,kuk1 min2,kuk1 min6
曳猪,jai6 zyu1,jai5 zyu1
更何況,gang1 ho4 fong3,gang3 ho4 fong3
更加唔,gang1 gaa1 m4,gang3 gaa1 m4
更動,gang1 dung6,gang3 dung6
更可,gang1 ho2,gang3 ho2
更唔更新,gang1 m4 gang1 san1,gang3 m4 gang3 san1
更多,gang1 do1,gang3 do1
更大,gang1 daai6,gang3 daai6
更好,gang1 hou2,gang3 hou2
更是,gang1 si6,gang3 si6
更會,gang1 wui5,gang3 wui6
更有,gang1 jau5,gang3 jau5
更樓石,gang1 lau4 sek6,gang3 lau4 sek6
更生灣泳灘,gang1 sang1 waan1 wing6 taan1,gang3 sang1 waan1 wing6 taan1
更重要,gang1 zung6 jiu3,gang3 zung6 jiu3
更高,gang1 gou1,gang3 gou1
書局街,syu1 guk2 gaai1,syu1 guk6 gaai1
曾仔坳,zang1 zai2 aau3,cang4 zai2 aau3
曾俊華,zang1 zeon3 waa4,cang4 zeon3 waa4
曾偉權,zang1 wai5 kyun4,cang4 wai5 kyun4
曾偉雄,zang1 wai5 hung4,cang4 wai5 hung4
曾健明,zang1 gin6 ming4,cang4 gin6 ming4
曾咀,zang1 zeoi2,cang4 zeoi2
曾嘴路,zang1 zeoi2 lou6,cang4 zeoi2 lou6
曾國衞,zang1 gwok3 wai6,cang4 gwok3 wai6
曾大屋,zang1 daai6 uk1,cang4 daai6 uk1
曾大屋新村,zang1 daai6 uk1 san1 cyun1,cang4 daai6 uk1 san1 cyun1
曾家瑩,zang1 gaa1 jing4,cang4 gaa1 jing4
曾屋村,zang1 uk1 cyun1,cang4 uk1 cyun1
曾展望,zang1 zin2 mong6,cang4 zin2 mong6
曾德成,zang1 dak1 sing4,cang4 dak1 sing4
曾志偉,zang1 zi3 wai5,cang4 zi3 wai5
曾慧雲,zang1 wai6 wan4,cang4 wai6 wan4
曾慶紅,zang1 hing3 hung4,cang4 hing3 hung4
曾憲備小學,zang1 hin3 bei6 siu2 hok6,cang4 hin3 bei6 siu2 hok6
曾敏,zang1 man5,cang4 man5
曾梅千禧學校,zang1 mui4 cin1 hei1 hok6 haau6,cang4 mui4 cin1 hei1 hok6 haau6
曾樂彤,zang1 lok6 tung4,cang4 lok6 tung4
曾比特,zang1 bei2 dak6,cang4 bei2 dak6
曾江,zang1 gong1,cang4 gong1
曾海昌,zang1 hoi2 coeng1,cang4 hoi2 coeng1
曾淑雅,zang1 suk6 ngaa5,cang4 suk6 ngaa5
曾潔,zang1 git3,cang4 git3
曾琬莎,zang1 jyun2 so1,cang4 jyun2 saa1
曾璧山,zang1 bik1 saan1,cang4 bik1 saan1
曾璧山崇蘭中學,zang1 bik1 saan1 sung4 laan4 zung1 hok6,cang4 bik1 saan1 sung4 laan4 zung1 hok6
曾綺婷,zang1 ji2 ting4,cang4 ji2 ting4
曾美欣,zang1 mei5 jan1,cang4 mei5 jan1
曾肇添,zang1 siu6 tim1,cang4 siu6 tim1
曾肇添中學,zang1 siu6 tim1 zung1 hok6,cang4 siu6 tim1 zung1 hok6
曾航生,zang1 hong4 sang1,cang4 hong4 sang1
曾若華,zang1 joek6 waa4,cang4 joek6 waa4
曾蔭培,zang1 jam3 pui4,cang4 jam3 pui4
曾蔭權,zang1 jam3 kyun4,cang4 jam3 kyun4
曾裕彤,zang1 jyu6 tung4,cang4 jyu6 tung4
曾貫一,zang1 gun3 jat1,cang4 gun3 jat1
曾路得,zang1 lou6 dak1,cang4 lou6 dak1
曾鈺成,zang1 juk6 sing4,cang4 juk6 sing4
最低工資委員會,zeoi3 dai1 gung1 zi1 wai2 jyun4 wui2,zeoi3 dai1 gung1 zi1 wai2 jyun4 wui6
最多咪,zeoi3 do1 mai6,zeoi3 do1 mi1
最撚,zeoi3 lan2,zeoi3 nan2
最正,zeoi3 zeng3,zeoi3 zing3
最為,zeoi3 wai4,zeoi3 wai6
最重,zeoi3 cung5,zeoi3 zung6
最重要,zeoi3 cung5 jiu3,zeoi3 zung6 jiu3
最重要係,zeoi3 cung5 jiu3 hai6,zeoi3 zung6 jiu3 hai6
最長,zeoi3 coeng4,zeoi3 zoeng6
會中,wui5 zung3,wui6 zung1
會令,wui5 ling6,wui6 ling6
會係,wui5 hai6,wui6 hai6
會係噉,wui5 hai6 gam2,wui6 hai6 gam2
會俾,wui5 bei2,wui6 bei2
會俾人,wui5 bei2 jan4,wui6 bei2 jan4
會做,wui5 zou6,wui6 zou6
會再,wui5 zoi3,wui6 zoi3
會出現,wui5 ceot1 jin6,wui6 ceot1 jin6
會加,wui5 gaa1,wui6 gaa1
會升,wui5 sing1,wui6 sing1
會去,wui5 heoi3,wui6 heoi3
會又,wui5 jau6,wui6 jau6
會叫,wui5 giu3,wui6 giu3
會唔會,wui5 m4 wui5,wui6 m4 wui6
會唔會係,wui5 m4 wui5 hai6,wui6 m4 wui6 hai6
會唔會太,wui5 m4 wui5 taai3,wui6 m4 wui6 taai3
會唔會有,wui5 m4 wui5 jau5,wui6 m4 wui6 jau5
會問,wui5 man6,wui6 man6
會喺,wui5 hai2,wui6 hai2
會在,wui5 zoi6,wui6 zoi6
會好,wui5 hou2,wui6 hou2
會好似,wui5 hou2 ci5,wui6 hou2 ci5
會好啲,wui5 hou2 di1,wui6 hou2 di1
會將,wui5 zoeng1,wui6 zoeng1
會對,wui5 deoi3,wui6 deoi3
會就,wui5 zau6,wui6 zau6
會幫,wui5 bong1,wui6 bong1
會影響,wui5 jing2 hoeng2,wui6 jing2 hoeng2
會後,wui2 hau6,wui6 hau6
會想,wui5 soeng2,wui6 soeng2
會把,wui5 baa2,wui6 baa2
會揀,wui5 gaan2,wui6 gaan2
會揾,wui5 wan2,wui6 wan3
會搞,wui5 gaau2,wui6 gaau2
會改,wui5 goi2,wui6 goi2
會明,wui5 ming4,wui6 ming4
會有,wui5 jau5,wui6 jau5
會有人,wui5 jau5 jan4,wui6 jau5 jan4
會死,wui5 sei2,wui6 sei2
會為,wui5 wai6,wui6 wai6
會爆,wui5 baau3,wui6 baau3
會玩,wui5 waan2,wui6 waan2
會理,wui5 lei5,wui6 lei5
會用,wui5 jung6,wui6 jung6
會留,wui5 lau4,wui6 lau4
會發生,wui5 faat3 sang1,wui6 faat3 sang1
會的,wui5 dik1,wui6 dik1
會眾,wui2 zung3,wui6 zung3
會睇,wui5 tai2,wui6 tai2
會知,wui5 zi1,wui6 zi1
會繼續,wui5 gai3 zuk6,wui6 gai3 zuk6
會聽,wui5 teng1,wui6 ting3
會被,wui5 bei6,wui6 bei6
會要,wui5 jiu3,wui6 jiu3
會見到,wui5 gin3 dou3,wui6 gin3 dou2
會覺得,wui5 gok3 dak1,wui6 gok3 dak1
會計及財務匯報局,wui6 gai3 kap6 coi4 mou6 wui6 bou3 guk2,wui6 gai3 kap6 coi4 mou6 wui6 bou3 guk6
會請,wui5 ceng2,wui6 cing2
會諗,wui5 nam2,wui6 nam2
會講,wui5 gong2,wui6 gong2
會識,wui5 sik1,wui6 sik1
會變,wui5 bin3,wui6 bin3
會財局,wui6 coi4 guk2,wui6 coi4 guk6
會買,wui5 maai5,wui6 maai5
會贏,wui5 jing4,wui6 jeng4
會走,wui5 zau2,wui6 zau2
會跌,wui5 dit3,wui6 dit3
會輸,wui5 syu1,wui6 syu1
會轉,wui5 zyun2,wui6 zyun3
會過,wui5 gwo3,wui6 gwo3
會選,wui5 syun2,wui6 syun2
會開,wui5 hoi1,wui6 hoi1
會食,wui5 sik6,wui6 sik6
會點,wui5 dim2,wui6 dim2
有下,jau5 haa5,jau5 haa6
有乘,jau5 sing6,jau5 sing4
有人會,jau5 jan4 wui5,jau5 jan4 wui6
有仔趁嫩生,jau5 zai2 can3 nyun6 saang1,jau5 zai2 can3 nyun6 sang1
有位,jau5 wai2,jau5 wai6
有啤,jau5 pe1,jau5 pei4
有嗎,jau5 maa1,jau5 maa5
有女,jau5 neoi2,jau5 neoi5
有幀,jau5 zing1,jau5 zing3
有打,jau5 daa1,jau5 daa2
有時會,jau5 si4 wui5,jau5 si4 wui6
有朋自遠方來,jau5 pang4 zi6 jyun5 fong1 lai4,jau5 pang4 zi6 jyun5 fong1 loi4
有朵,jau5 doe2,jau5 do2
有棵,jau5 fo2,jau5 po1
有泡,jau5 paau1,jau5 pou5
有為,jau5 wai4,jau5 wai6
有為有守,jau5 wai4 jau5 sau2,jau5 wai6 jau5 sau2
有營雞廚房,jau5 jing4 gai1 cyu4 fong4,jau5 jing4 gai1 cyu4 fong2
有疊,jau5 daap6,jau5 dip6
有疋,jau5 pat1,jau5 ngaa5
有相,jau5 soeng2,jau5 soeng1
有碗話碗有碟話碟,jau5 wun2 waa6 wun2 jau5 dip2 waa6 dip2,jau5 wun2 waa6 wun2 jau5 dip6 waa6 dip6
有福同享有禍同當,jau5 fuk1 tung4 hoeng2 jau5 wo6 tung4 dong1,jau5 fuk1 tung4 hoeng2 jau5 wo6 tung4 dong3
有福同享有難同當,jau5 fuk1 tung4 hoeng2 jau5 naan6 tung4 dong1,jau5 fuk1 tung4 hoeng2 jau5 naan4 tung4 dong3
有粒,jau5 nap1,jau5 lap1
有縷,jau5 leoi5,jau5 lau5
有興趣,jau5 hing1 ceoi3,jau5 hing3 ceoi3
有載,jau5 zoi2,jau5 zoi3
有返,jau5 faan1,jau5 faan2
有銀揾,jau5 ngan2 wan2,jau5 ngan4 wan3
有錢人,jau5 cin2 jan4,jau5 cin4 jan4
有錢使得鬼推磨,jau5 cin2 sai2 dak1 gwai2 teoi1 mo4,jau5 cin4 si2 dak1 gwai2 teoi1 mo4
有錢駛得鬼推磨,jau5 cin2 sai2 dak1 gwai2 teoi1 mo4,jau5 cin4 sai2 dak1 gwai2 teoi1 mo4
有間,jau5 gaan1,jau5 haan4
有頂,jau5 deng2,jau5 ding2
有頭髮邊個想做瘌痢,jau5 tau4 faat3 bin1 go3 soeng2 zou6 laat3 lei1,jau5 tau4 faat3 bin1 go3 soeng2 zou6 laat6 lei1
有頭髮邊個想做癩痢,jau5 tau4 faat3 bin1 go3 soeng2 zou6 laat3 lei1,jau5 tau4 faat3 bin1 go3 soeng2 zou6 laai3 lei6
朋友妻咪走雞,pang4 jau5 cai1 mai5 zau2 gai1,pang4 jau5 cai1 mi1 zau2 gai1
朋比為奸,pang4 bei2 wai4 gaan1,pang4 bei2 wai6 gaan1
望下,mong6 haa5,mong6 haa6
望到頸都長,mong6 dou3 geng2 dou1 coeng4,mong6 dou3 geng2 dou1 zoeng6
朝中有人好辦事,ciu4 zung1 jau5 jan4 hou2 baan6 si6,ziu1 zung1 jau5 jan4 hou2 baan6 si6
朝光街,ciu4 gwong1 gaai1,ziu1 gwong1 gaai1
朝暉徑,ciu4 fai1 ging3,ziu1 fai1 ging3
朝暉路,ciu4 fai1 lou6,ziu1 fai1 lou6
朝陽,ciu4 joeng4,ziu1 joeng4
朝鮮人,ciu4 sin1 jan4,ziu1 sin1 jan4
朝鮮核談,ciu4 sin1 hat6 taam4,ziu1 sin1 hat6 taam4
木魚山,muk6 jyu4 saan1,muk6 jyu2 saan1
木魚洲,muk6 jyu4 zau1,muk6 jyu2 zau1
木魚頭,muk6 jyu4 tau4,muk6 jyu2 tau4
未學行先學走,mei6 hok6 haang4 sin1 hok6 zau2,mei6 hok6 hong6 sin1 hok6 zau2
未瞓醒,mei6 fan3 seng2,mei6 fan3 sing2
未聽,mei6 teng1,mei6 ting3
朱栢康,zyu1 paak3 hong1,zyu1 baak3 hong1
朱栢謙,zyu1 paak3 him1,zyu1 baak3 him1
朱玲玲,zyu1 ling4 ling4,zyu1 ling4 ling2
朵朵,doe2 doe2,do2 do2
李少光,lei5 siu3 gwong1,lei5 siu2 gwong1
李祉均,lei5 zi2 gwan1,lei5 ci2 gwan1
李鄭屋官立小學,lei5 zeng6 uk1 gun1 lap6 siu2 hok6,lei5 zeng6 uk1 gun1 laap6 siu2 hok6
李長春,lei5 coeng4 ceon1,lei5 zoeng6 ceon1
李麗珊,lei5 lai6 saan1,lei5 lai6 san1
杜塞道夫,dou6 coi3 dou6 fu1,dou6 sak1 dou6 fu1
杜阿拉,dou6 aa3 laai1,dou6 o1 laai1
杯澳公立學校,bui1 ou3 gung1 lap6 hok6 haau6,bui1 ou3 gung1 laap6 hok6 haau6
東博寮海峽,dung1 bok3 liu4 hoi2 haap6,dung1 bok3 liu4 hoi2 hap6
東咀頂,dung1 zeoi2 deng2,dung1 zeoi2 ding2
東揾西揾,dung1 wan2 sai1 wan2,dung1 wan3 sai1 wan3
東涌東交匯處,dung1 cung1 dung1 gaau1 wui6 cyu5,dung1 cung1 dung1 gaau1 wui6 cyu3
東莞同鄉會,dung1 gun2 tung4 hoeng1 wui2,dung1 gun2 tung4 hoeng1 wui5
東莞工商總會,dung1 gun2 gung1 soeng1 zung2 wui2,dung1 gun2 gung1 soeng1 zung2 wui6
東華,dung1 waa2,dung1 waa4
東頭頂,dung1 tau4 deng2,dung1 tau4 ding2
松嶺,cung4 leng5,cung4 ling5
松嶺路,cung4 leng5 lou6,cung4 ling5 lou6
松嶺里,cung4 leng5 lei5,cung4 ling5 lei5
板長壽司,baan2 zoeng2 sau6 si1,baan2 zoeng6 sau6 si1
林村公立黃福鑾紀念學校,lam4 cyun1 gung1 lap6 wong4 fuk1 lyun4 gei2 nim6 hok6 haau6,lam4 cyun1 gung1 laap6 wong4 fuk1 lyun4 gei2 nim6 hok6 haau6
林漪娸,lam4 ji1 hei1,lam4 ji2 hei1
林錦公路交匯處,lam4 gam2 gung1 lou6 gaau1 wui6 cyu5,lam4 gam2 gung1 lou6 gaau1 wui6 cyu3
林韋辰,lam4 wai4 san4,lam4 wai5 san4
枱薦,toi2 zin2,toi2 zin3
枴杖,gwaai2 zoeng2,gwaai2 zoeng6
柏立基教育學院校友會,paak3 lap6 gei1 gaau3 juk6 hok6 jyun2 haau6 jau5 wui2,paak3 laap6 gei1 gaau3 juk6 hok6 jyun2 haau6 jau5 wui6
柒到,cat6 dou3,cat1 dou3
柒到盡頭便是型,cat6 dou3 zeon6 tau4 bin6 si6 jing4,cat1 dou3 zeon6 tau4 bin6 si6 jing4
柒咗,cat6 zo2,cat1 zo2
柒婆,cat6 po4,cat1 po4
柞木炭家,zok6 muk6 taan3 gaa1,zaa3 muk6 taan3 gaa1
柯士甸,o1 si6 din6,o1 si6 din1
柯士甸山道,o1 si6 din6 saan1 dou6,o1 si6 din1 saan1 dou6
柯士甸路,o1 si6 din6 lou6,o1 si6 din1 lou6
柯士甸道,o1 si6 din6 dou6,o1 si6 din1 dou6
柯士甸道西,o1 si6 din6 dou6 sai1,o1 si6 din1 dou6 sai1
柳應廷,lau5 jing3 ting4,lau5 jing1 ting4
柴灣聖米迦勒小學,caai4 waan1 sing3 mai5 haai6 lak6 siu2 hok6,caai4 waan1 sing3 mai5 gaa1 laak6 siu2 hok6
校友會,haau6 jau5 wui2,haau6 jau5 wui6
校委會,haau6 wai2 wui2,haau6 wai2 wui6
校閲,gaau3 jyut6,haau6 jyut6
核子彈頭,hat6 zi2 daan6 tau4,hat6 zi2 taan4 tau4
核子潛艇,hat6 zi2 cim4 ting5,hat6 zi2 cim4 teng5
核對峙,hat6 deoi3 ci5,hat6 deoi3 zi6
核彈,hat6 daan2,hat6 taan4
核核突突,wat6 wat6 dat6 dat6,hat6 wat6 dat6 dat6
核桃糊,hat6 tou4 wu2,hat6 tou4 wu4
核轉變,hat6 zyun2 bin3,hat6 zyun3 bin3
核門檻,hat6 mun4 laam6,hat6 mun4 haam5
核電荷數,hat6 din6 ho6 sou3,hat6 din6 ho4 sou3
核飛彈,hat6 fei1 daan6,hat6 fei1 taan4
格下價,gaak3 haa5 gaa3,gaak3 haa6 gaa3
格勒諾布爾,gaak3 lak6 nok6 bou3 ji5,gaak3 laak6 nok6 bou3 ji5
桅夾排,wai4 gaap3 paai4,ngai4 gaap3 paai4
梁冠康,loeng4 gun1 hong1,loeng4 gun3 hong1
梁冠洋,loeng4 gun1 joeng4,loeng4 gun3 joeng4
梁朝偉,loeng4 ciu4 wai5,loeng4 ziu1 wai5
梁省德,loeng4 sing2 dak1,loeng4 saang2 dak1
梁競徽,loeng4 ging6 fai1,loeng4 ging3 fai1
梁菁琳,loeng4 zing1 lam4,loeng4 cing1 lam4
梅核氣,mui4 wat6 hei3,mui4 hat6 hei3
梅窩鄉事會路,mui4 wo1 hoeng1 si6 wui2 lou6,mui4 wo1 hoeng1 si6 wui6 lou6
條命,tiu4 meng6,tiu4 ming6
條命凍過水,tiu4 meng6 dung3 gwo3 seoi2,tiu4 ming6 dung3 gwo3 seoi2
條命生得正,tiu4 meng6 sang1 dak1 zeng3,tiu4 ming6 sang1 dak1 zing3
條撚,tiu4 lan2,tiu4 nan2
條撚樣,tiu4 lan2 joeng2,tiu4 nan2 joeng6
條條,tiu4 tiu4,tiu2 tiu4
梳粧盒,so1 zong1 hap2,so1 zong1 hap6
棉紡會中學,min4 fong2 wui2 zung1 hok6,min4 fong2 wui6 zung1 hok6
棠蔭街,tong4 jam1 gaai1,tong4 jam3 gaai1
棵棵,fo2 fo2,po1 po1
楊倩玉,joeng4 sin6 juk2,joeng4 sin6 juk6
極為,gik6 wai4,gik6 wai6
極為龐大,gik6 wai4 pong4 daai6,gik6 wai6 pong4 daai6
榕樹凹灣,jung4 syu6 aau3 waan1,jung4 syu6 nap1 waan1
榮華,wing4 waa2,wing4 waa4
樂善堂,lok6 sin6 tong2,lok6 sin6 tong4
樂善堂王仲銘中學,lok6 sin6 tong4 wong4 zung6 ming4 zung1 hok6,lok6 sin6 tong4 wong4 zung6 ming5 zung1 hok6
樂天皇朝,lok6 tin1 wong4 ciu4,lok6 tin1 wong4 ziu1
樊少皇,faan4 siu3 wong4,faan4 siu2 wong4
樣唔樣衰,joeng2 m4 joeng2 seoi1,joeng6 m4 joeng6 seoi1
樣靚身材正,joeng2 leng3 san1 coi4 zeng3,joeng6 leng3 san1 coi4 zing3
樺甸,waa4 din6,waa4 din1
樽頸位,zeon1 geng2 wai2,zeon1 geng2 wai6
機場北交匯處,gei1 coeng4 bak1 gaau1 wui6 cyu5,gei1 coeng4 bak1 gaau1 wui6 cyu3
機場南交匯處,gei1 coeng4 naam4 gaau1 wui6 cyu5,gei1 coeng4 naam4 gaau1 wui6 cyu3
橫冚,waang1 kam2,waang4 ham6
橫嶺,waang4 leng5,waang4 ling5
橫嶺坳,waang4 leng5 aau3,waang4 ling5 aau3
橫嶺背,waang4 leng5 bui3,waang4 ling5 bui3
橫嶺頭,waang4 leng5 tau4,waang4 ling5 tau4
橫瀝,waang4 lik6,waang4 lik1
櫃台,gwai6 toi2,gwai6 toi4
欖核,laam2 wat6,laam5 hat6
歃血為盟,saap3 hyut3 wai4 mang4,saap3 hyut3 wai6 mang4
歎為觀止,taan3 wai4 gun1 zi2,taan3 wai6 gun1 zi2
歎返下,taan3 faan1 haa5,taan3 faan2 haa6
歐鎮銘,au1 zan3 ming4,au1 zan3 ming5
止蝕,zi2 sik6,zi2 sit6
正到,zeng3 dou3,zing3 dou3
正到痺,zeng3 dou3 bei3,zing3 dou3 bei3
正啊,zeng3 aa3,zing3 aa3
正斗粥麵專家,zeng3 dau3 zuk1 min6 zyun1 gaa1,zing3 dau2 zuk1 min6 zyun1 gaa1
正過,zeng3 gwo3,zing3 gwo3
殷憂啟聖,jan1 jau1 kai2 sing3,jan2 jau1 kai2 sing3
殺人放火金腰帶,saat3 jan4 fong3 fo2 gam1 jiu1 daai2,saat3 jan4 fong3 fo2 gam1 jiu1 daai3
每下,mui5 haa5,mui5 haa6
每位,mui5 wai2,mui5 wai6
每啤,mui5 pe1,mui5 pei4
每打,mui5 daa1,mui5 daa2
每朵,mui5 doe2,mui5 do2
每疊,mui5 daap6,mui5 dip6
每疋,mui5 pat1,mui5 ngaa5
